Genotype,Loc,Loc2,Row,Col,Rep,Block,Plot,yield
G4,2,CMuerto,1,10,1,2,4,2986
G26,2,CMuerto,2,10,1,5,3,3457
G27,2,CMuerto,3,10,2,2,4,3353
G20,2,CMuerto,4,10,2,5,3,4214
G10,2,CMuerto,5,10,3,2,4,3613
G17,2,CMuerto,6,10,3,5,3,3223
G5,2,CMuerto,1,11,1,2,5,3269
G28,2,CMuerto,2,11,1,5,2,3806
G28,2,CMuerto,3,11,2,2,5,4829
G5,2,CMuerto,4,11,2,5,2,3613
G24,2,CMuerto,5,11,3,2,5,3946
G4,2,CMuerto,6,11,3,5,2,2850
G8,2,CMuerto,1,12,1,2,6,3082
G35,2,CMuerto,2,12,1,5,1,3262
G34,2,CMuerto,3,12,2,2,6,3811
G16,2,CMuerto,4,12,2,5,1,3294
G9,2,CMuerto,5,12,3,2,6,3122
G16,2,CMuerto,6,12,3,5,1,3546
G7,2,CMuerto,1,13,1,3,1,3653
G21,2,CMuerto,2,13,1,4,6,3671
G36,2,CMuerto,3,13,2,3,1,3747
G31,2,CMuerto,4,13,2,4,6,3735
G36,2,CMuerto,5,13,3,3,1,3605
G34,2,CMuerto,6,13,3,4,6,3341
G6,2,CMuerto,1,14,1,3,2,4049
G10,2,CMuerto,2,14,1,4,5,4165
G11,2,CMuerto,3,14,2,3,2,3799
G24,2,CMuerto,4,14,2,4,5,3837
G13,2,CMuerto,5,14,3,3,2,3122
G26,2,CMuerto,6,14,3,4,5,3706
G18,2,CMuerto,1,15,1,3,3,2810
G22,2,CMuerto,2,15,1,4,4,2729
G18,2,CMuerto,3,15,2,3,3,3531
G22,2,CMuerto,4,15,2,4,4,3981
G7,2,CMuerto,5,15,3,3,3,4317
G14,2,CMuerto,6,15,3,4,4,3852
G19,2,CMuerto,1,16,1,3,4,3109
G23,2,CMuerto,2,16,1,4,3,3859
G23,2,CMuerto,3,16,2,3,4,4055
G19,2,CMuerto,4,16,2,4,3,3157
G21,2,CMuerto,5,16,3,3,4,3916
G20,2,CMuerto,6,16,3,4,3,4388
G20,2,CMuerto,1,17,1,3,5,4265
G27,2,CMuerto,2,17,1,4,2,4212
G26,2,CMuerto,3,17,2,3,5,3546
G4,2,CMuerto,4,17,2,4,2,2989
G25,2,CMuerto,5,17,3,3,5,4268
G8,2,CMuerto,6,17,3,4,2,4033
G17,2,CMuerto,1,18,1,3,6,3320
G14,2,CMuerto,2,18,1,4,1,3210
G30,2,CMuerto,3,18,2,3,6,3916
G15,2,CMuerto,4,18,2,4,1,3603
G31,2,CMuerto,5,18,3,3,6,3338
G15,2,CMuerto,6,18,3,4,1,3651
